allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,purina pro plan veterinary diets,,8%,287/100g,20%,7%,9%,56%,dry,,7.5%,17.5%,6.0%,8.0%,11.0%,50.0%,"Corn gluten meal,wheat gluten,soybean meal,poultry by-product meal,oat fiber,soy protein isolate,brewers rice,fish meal,powdered cellulose,animal fat preserved with mixed-tocopherols,phosphoric acid,animal liver flavor,potassium chloride,calcium carbonate,L-Lysine monohydrochloride,salt,choline chloride,Vitamin E supplement,taurine,zinc sulfate,ferrous sulfate,L-ascorbyl-2-polyphosphate (source of Vitamin C),manganese sulfate,niacin,Vitamin A supplement,copper sulfate,calcium pantothenate,thiamine mononitrate,riboflavin supplement,Vitamin B-12 supplement,pyridoxine hydrochloride,folic acid,Vitamin D-3 supplement,calcium iodate,biotin,menadione sodium bisulfite complex (source of Vitamin K activity),sodium selenite. A-2566",[1],OM Overweight Management Feline Formula - Dry,[3],,
,purina pro plan veterinary diets,,5%,336/100g,53%,11%,3%,28%,dry,,4.8%,46.8%,10.0%,2.5%,11.0%,25.0%,"Brewers rice,tuna,whole grain corn,soybean meal,animal fat preserved with mixed-tocopherols,corn gluten meal,potato protein,dried egg product,brewers dried yeast,animal liver flavor,powdered cellulose,fish oil,calcium carbonate,potassium chloride,potassium citrate,L-Lysine monohydrochloride,salt,choline chloride,taurine,Vitamin E supplement,DL-Methionine,zinc sulfate,ferrous sulfate,thiamine mononitrate (Vitamin B-1),manganese sulfate,niacin (Vitamin B-3),Vitamin A supplement,calcium pantothenate (Vitamin B-5),copper sulfate,riboflavin supplement (Vitamin B-2),Vitamin B-12 supplement,pyridoxine hydrochloride (Vitamin B-6),folic acid (Vitamin B-9),Vitamin D-3 supplement,calcium iodate,biotin (Vitamin B-7),menadione sodium bisulfite complex (Vitamin K),sodium selenite",[1],NF Kidney Function Feline Formula - Dry,[1],,
,purina pro plan veterinary diets,,9%,319/100g,44%,10%,4%,33%,dry,,7.8%,39.3%,9.0%,4.0%,10.0%,30.0%,"Rice starch,hydrolyzed soy protein isolate,partially hydrogenated canola oil preserved with TBHQ,hydrolyzed chicken liver,tricalcium phosphate,powdered cellulose,corn oil,hydrolyzed chicken,sodium bisulfate,DL-Methionine,potassium chloride,choline chloride,tetra sodium pyrophosphate,L-Lysine monohydrochloride,phosphoric acid,salt,guar gum,taurine,lecithin,magnesium oxide,zinc sulfate,ferrous sulfate,Vitamin E supplement,manganese sulfate,niacin,Vitamin A supplement,calcium pantothenate,thiamine mononitrate,copper sulfate,riboflavin supplement,Vitamin B-12 supplement,pyridoxine hydrochloride,folic acid,Vitamin D-3 supplement,calcium iodate,biotin,menadione sodium bisulfite complex (source of Vitamin K activity),sodium selenite",[1],HA Hydrolyzed Feline Formula,[1],,
,purina pro plan veterinary diets,,10%,348/100g,16%,18%,3%,52%,dry,,8.5%,14.5%,16.0%,3.0%,12.0%,46.0%,"Chicken meal,soy protein isolate,brewers rice,dried egg product,animal fat preserved with mixed-tocopherols,potato protein,brewers dried yeast,pea protein,natural flavor,cassava root flour,sodium caseinate,potassium chloride,dried whey,calcium carbonate,fish oil,phosphoric acid,sodium bisulfate,powdered cellulose,dried pumpkin,taurine,zinc proteinate,choline chloride,salt,dried colostrum,DL-Methionine,Vitamin E supplement,manganese proteinate,ferrous sulfate,thiamine mononitrate,niacin,copper proteinate,Vitamin A supplement,calcium pantothenate,riboflavin supplement,Vitamin B-12 supplement,pyridoxine hydrochloride,folic acid,Vitamin D-3 supplement,calcium iodate,biotin,menadione sodium bisulfite complex (source of Vitamin K activity),sodium selenite",[2],EN Gastroenteric Naturals Feline Formula - Dry,[3],,
,purina pro plan veterinary diets,,8%,353/100g,14%,18%,3%,57%,dry,,7.0%,12.0%,16.0%,3.0%,12.0%,50.0%,"Soy protein isolate,poultry by-product meal,corn gluten meal,soy flakes,animal fat preserved with mixed-tocopherols,corn starch,natural flavor,calcium carbonate,phosphoric acid,fish oil,potassium chloride,choline chloride,powdered cellulose,DL-Methionine,taurine,zinc proteinate,salt,dried colostrum,Vitamin E supplement,manganese proteinate,ferrous sulfate,thiamine mononitrate,niacin,copper proteinate,Vitamin A supplement,calcium pantothenate,riboflavin supplement,Vitamin B-12 supplement,pyridoxine hydrochloride,folic acid,Vitamin D-3 supplement,calcium iodate,biotin,menadione sodium bisulfite complex (source of Vitamin K activity),sodium selenite. A-2562",[1],EN Gastroenteric Feline Formula - Dry,[4],,
,purina pro plan veterinary diets,,9%,319/100g,32%,14%,7%,39%,dry,,8.0%,28.0%,12.0%,6.0%,12.0%,34.0%,"Ground yellow corn,poultry by-product meal (source of glucosamine),corn gluten meal,animal liver flavor,animal fat preserved with mixed-tocopherols,powdered cellulose,fish meal (source of glucosamine),glycerin,calcium carbonate,natural and artificial flavors,salt,potassium chloride,brewers dried yeast,choline chloride,added color,Vitamin E supplement,tricalcium phosphate,taurine,zinc sulfate,ferrous sulfate,manganese sulfate,niacin,copper sulfate,Vitamin A supplement,calcium pantothenate,thiamine mononitrate,riboflavin supplement,Vitamin B-12 supplement,pyridoxine hydrochloride,folic acid,Vitamin D-3 supplement,calcium iodate,biotin,menadione sodium bisulfite complex (source of Vitamin K activity),sodium selenite",[1],DH Dental Health Feline Formula,[2],,
,purina pro plan veterinary diets,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,turkey,liver,wheat gluten,fish,corn starch-modified,poultry livers,poultry hearts,soy flour,artificial and natural flavors,sodium bisulfate,potassium chloride,fish oil,salt,added color,tricalcium phosphate,choline chloride,taurine,Vitamin E supplement,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,potassium iodide",[2],UR Urinary St/Ox Feline Formula - Turkey & Giblets Recipe in Sauce,[3],,
,purina pro plan veterinary diets,,0%,75/100g,28%,10%,8%,55%,wet,,0.0%,5.5%,2.0%,1.5%,80.0%,11.0%,"Water sufficient for processing,salmon,liver,wheat gluten,chicken,corn starch-modified,artificial and natural flavors,soy flour,added color,sodium bisulfate,potassium chloride,tricalcium phosphate,salt,fish oil,choline chloride,taurine,Vitamin E supplement,thiamine mononitrate,mono and dicalcium phosphate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),copper sulfate,manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,potassium iodide",[2],UR Urinary St/Ox Feline Formula - Salmon Recipe in Sauce,[3],,
,purina pro plan veterinary diets,,9%,346/100g,13%,17%,3%,58%,dry,,7.5%,11.5%,15.0%,3.0%,12.0%,51.0%,"Poultry by-product meal,soy protein isolate,corn gluten meal,soy flour,animal fat preserved with mixed-tocopherols,corn starch,animal liver flavor,calcium carbonate,phosphoric acid,fish oil,potassium chloride,L-Lysine monohydrochloride,DL-Methionine,taurine,choline chloride,powdered cellulose,salt,zinc sulfate,Vitamin E supplement,ferrous sulfate,manganese sulfate,niacin,Vitamin A supplement,calcium pantothenate,copper sulfate,thiamine mononitrate,riboflavin supplement,Vitamin B-12 supplement,pyridoxine hydrochloride,folic acid,Vitamin D-3 supplement,calcium iodate,biotin,menadione sodium bisulfite complex (source of Vitamin K activity),sodium selenite",[1],DM Dietetic Management Feline Formula - Dry,[4],,
,purina pro plan veterinary diets,,0%,97/100g,23%,23%,7%,48%,wet,,0.0%,5.0%,5.0%,1.5%,78.0%,10.5%,"Meat by-products,liver,chicken,water sufficient for processing,poultry by-products,rice,calcium gluconate,oat fiber,guar gum,sodium bisulfate,potassium chloride,salt,carrageenan,taurine,mono and dicalcium phosphate,zinc sulfate,thiamine mononitrate,ferrous sulfate,Vitamin E supplement,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,potassium iodide",[1],UR Urinary St/Ox Feline Formula - Original Canned,[3],,
,purina pro plan veterinary diets,,0%,63/100g,22%,11%,17%,50%,wet,,0.0%,4.0%,2.0%,3.0%,82.0%,9.0%,"Water sufficient for processing,turkey,wheat gluten,meat by-products,liver,powdered cellulose,corn starch-modified,chicken,ocean whitefish,artificial and natural flavors,L-Lysine monohydrochloride,tricalcium phosphate,potassium chloride,choline chloride,taurine,salt,mono and dicalcium phosphate,Red 3,zinc sulfate,thiamine mononitrate,ferrous sulfate,Vitamin E supplement,added color,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,potassium iodide",[1],OM Overweight Management Feline Formula - Savory Selects,[3],,
,purina pro plan veterinary diets,,0%,87/100g,33%,20%,5%,43%,wet,,0.0%,6.5%,4.0%,1.0%,80.0%,8.5%,"Water sufficient for processing,liver,chicken,ocean whitefish,meat by-products,rice,powdered cellulose,salmon meal,artificial and natural flavors,guar gum,calcium sulfate,potassium chloride,carrageenan,taurine,Vitamin E supplement,thiamine mononitrate,zinc sulfate,mono and dicalcium phosphate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,copper sulfate,menadione sodium bisulfite complex (source of Vitamin K activity),manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,potassium iodide,Vitamin D-3 supplement,sodium selenite",[2],OM Overweight Management Feline Formula - Canned,[2],,
,purina pro plan veterinary diets,,0%,96/100g,41%,20%,9%,30%,wet,,0.0%,9.5%,4.5%,2.0%,77.0%,7.0%,"Water sufficient for processing,beef,poultry by-products,rice,meat by-products,chicken,calcium gluconate,powdered cellulose,artificial and natural flavors,guar gum,potassium citrate,potassium chloride,magnesium sulfate,carrageenan,Vitamin E supplement,choline chloride,taurine,zinc sulfate,thiamine mononitrate,mono and dicalcium phosphate,ferrous sulfate,niacin,calcium pantothenate,Vitamin A supplement,copper sulfate,menadione sodium bisulfite complex (source of Vitamin K activity),manganese sulfate,pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,potassium iodide,Vitamin D-3 supplement,sodium selenite",[1],NF Kidney Function Feline Formula - Canned,[1],,
,purina pro plan veterinary diets,,14%,81/100g,16%,18%,7%,45%,wet,,3.0%,3.5%,4.0%,1.5%,78.0%,10.0%,"Chicken meal,soy protein isolate,brewers rice,dried egg product,animal fat preserved with mixed-tocopherols,potato protein,brewers dried yeast,pea protein,natural flavor,cassava root flour,sodium caseinate,potassium chloride,dried whey,calcium carbonate,fish oil,phosphoric acid,sodium bisulfate,powdered cellulose,dried pumpkin,taurine,zinc proteinate,choline chloride,salt,dried colostrum,DL-Methionine,Vitamin E supplement,manganese proteinate,ferrous sulfate,thiamine mononitrate,niacin,copper proteinate,Vitamin A supplement,calcium pantothenate,riboflavin supplement,Vitamin B-12 supplement,pyridoxine hydrochloride,folic acid,Vitamin D-3 supplement,calcium iodate,biotin,menadione sodium bisulfite complex (source of Vitamin K activity),sodium selenite. A-2563",[2],EN Gastroenteric Naturals Feline Formula - Canned,[3],,
,purina pro plan veterinary diets,,0%,90/100g,30%,18%,9%,43%,wet,,0.0%,6.5%,4.0%,2.0%,78.0%,9.5%,"Poultry by-products,liver,water sufficient for processing,turkey,rice,oat fiber,calcium gluconate,fish oil,artificial and natural flavors,guar gum,potassium chloride,salt,carrageenan,mono and dicalcium phosphate,magnesium sulfate,Vitamin E supplement,taurine,zinc sulfate,thiamine mononitrate,ferrous sulfate,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,potassium iodide",[1],EN Gastroenteric Feline Formula,[3],,
,purina pro plan veterinary diets,,0%,97/100g,24%,17%,4%,54%,wet,,0.0%,5.5%,4.0%,1.0%,77.0%,12.5%,"Water sufficient for processing,chicken,liver,wheat gluten,meat by-products,corn starch-modified,soy flour,artificial and natural flavors,tricalcium phosphate,potassium chloride,L-Lysine monohydrochloride,taurine,salt,choline chloride,added color,mono and dicalcium phosphate,zinc sulfate,ferrous sulfate,thiamine mononitrate,Vitamin E supplement,niacin,copper sulfate,manganese sulfate,calcium pantothenate,Vitamin A supplement,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,potassium iodide",[1],DM Dietetic Management Feline Formula - Savory Selects,[3],,
,purina pro plan veterinary diets,,0%,93/100g,18%,20%,9%,52%,wet,,0.0%,4.0%,4.5%,2.0%,78.0%,11.5%,"Liver,poultry by-products,meat by-products,water sufficient for processing,chicken,salmon,oat fiber,salmon meal,artificial and natural flavors,calcium sulfate,guar gum,potassium chloride,carrageenan,salt,Vitamin E supplement,mono and dicalcium phosphate,taurine,thiamine mononitrate,zinc sulfate,ferrous sulfate,niacin,calcium pantothenate,copper sulfate,Vitamin A supplement,manganese sulfate,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,folic acid,Vitamin D-3 supplement,potassium iodide",[1],DM Dietetic Management Feline Formula - Original Canned,[3],,
,purina pro plan veterinary diets,,0%,120/100g,26%,30%,6%,38%,wet,,0.0%,6.5%,7.5%,1.5%,75.0%,9.5%,"Water sufficient for processing,meat by-products,beef,liver,poultry by-products,corn oil,rice flour,artificial and natural flavors,tricalcium phosphate,potassium chloride,guar gum,oat fiber,calcium sulfate,magnesium sulfate,choline chloride,DL-Methionine,taurine,Vitamin E supplement,zinc sulfate,thiamine mononitrate,ferrous sulfate,niacin,copper sulfate,calcium pantothenate,Vitamin A supplement,manganese sulfate,menadione sodium bisulfite complex (source of Vitamin K activity),pyridoxine hydrochloride,riboflavin supplement,Vitamin B-12 supplement,biotin,potassium iodide,folic acid,Vitamin D-3 supplement,sodium selenite",[1],CN Critical Nutrition Canine and Feline Formula,[2],,
,petite cuisine,,17%,58/100g,0%,8%,6%,73%,wet,,3.0%,0.0%,1.5%,1.0%,85.0%,13.0%,"Fish broth,Tuna filets,Yellow fin whole loin tuna,Sunflower oil,Trialcium phosphate,Guar gum,Calcium sulfate,Carrageenan,Vitamins and Minerals,Vitamin E supplement,Vitamin A supplement,Vitamin D3 supplement,Zinc Sulfate,Thiamine Mononitrate,Manganese sulfate,Menadione sodium bisuifite complex (source of vitamin K activity),Riboflavin supplement,Folic acid,Pyridoxine hydrochloride,Copper amino acid complex,Iron amino acid complex",[2],Yellow Fin Tuna Entree,[5],,
,petguard,,7%,350/100g,36%,17%,3%,36%,dry,,6.5%,31.5%,15.0%,3.0%,12.0%,32.0%,"Fresh Chicken,Chicken Meal,Brown Rice,Sunflower Oil,Oatmeal,Chicken Fat (Preserved With Mixed Tocopherols),Fish Oil,Dried Whole Eggs,Dried Kelp,Dried Whey,Calcium Ascorbate (Source of Vitamin C),Apple Fiber,Alfalfa Meal,Sea Salt,DL-Methionine,Lecithin,Taurine,Potassium Chloride,Choline Chloride,L-Lysine,Yucca Schidigera Extract,Vitamin A Supplement,Ergocalciferol (Source of Viatmin D2),Vitamin E Supplement,Riboflavin Supplement (Source of B2),Vitamin B12 Supplement,Calcium Pantothenate,Thiamine (Source of Vitamin B1),Biotin,Niacin,Folic Acid,Pyridoxine Hydrochloride (Source of Vitamin B6),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Manganese Amino Acid Chelate,Cobalt Amino Acid Chelate,Sodium Selenite",[3],Premium Cat & Kitten Dry Food,[2],,
,petcurean,,7%,332/100g,38%,12%,6%,38%,dry,,6.0%,34.0%,11.0%,5.0%,10.0%,34.0%,"Chicken meal,whole brown rice,oatmeal,potatoes,peas,chicken fat (preserved with mixed tocopherols),natural chicken flavour,salmon meal,turkey meal,salmon oil,potassium chloride,calcium sulphate,phosphoric acid,sodium chloride,choline chloride,vitamins (vitamin A supplement,vitamin D3 supplement,vitamin E supplement,niacin,inositol,L-ascorbyl-2-polyphosphate (a source of vitamin C),thiamine mononitrate,d-calcium pantothenate,riboflavin,pyridoxine hydrochloride,beta-carotene,folic acid,biotin,vitamin B12 supplement),minerals (zinc proteinate,iron proteinate,copper proteinate,zinc oxide,manganese proteinate,copper sulphate,calcium iodate,ferrous sulphate,manganous oxide,sodium selenite),taurine,DL-methionine,dried chicory root,yeast extract,yucca schidigera extract,L-carnitine,dried rosemary",[2],SUMMIT Three Meat Indoor Cat Recipe,[2],,
,performatrin,,0%,365/100g,50%,13%,3%,33%,dry,,0.0%,45.0%,12.0%,3.0%,10.0%,30.0%,"Sweet Potato,Chicken,Chicken Meal,Potato Protein,Chicken Fat (preserved with Mixed Tocopherols and Citric Acid),Natural Flavor,Potato Fiber,Flaxseed,Potassium Chloride,Dicalcium Phosphate,Salmon Oil (preserved with Mixed Tocopherols and Citric Acid),DL-Methionine,Taurine,Choline Chloride,Salt,Yucca Schidigera Extract,Rosemary Extract,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),Zinc Proteinate,Iron Proteinate,Vitamin E Supplement,Manganese Proteinate,Copper Proteinate,Vitamin A Supplement,Niacin,Thiamine Mononitrate,Riboflavin Supplement,Vitamin D3 Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Inositol,Vitamin B12 Supplement,Folic Acid,Biotin,Calcium Iodate,Sodium Selenite",[4],Ultra Limited Sweet Potato & Chicken Formula Cat Food,[1],,
